"job_id","race","criminal","call"
1,"white",0,0
2,"white",0,0
3,"white",0,0
4,"black",0,1
5,"white",0,1
6,"black",0,0
7,"black",1,0
8,"black",1,0
9,"white",1,0
10,"white",0,0
11,"black",0,0
12,"black",0,0
13,"black",1,0
14,"white",0,0
15,"black",1,0
16,"white",0,1
17,"black",0,0
18,"white",1,0
19,"white",0,0
20,"white",1,0
21,"white",0,0
22,"black",0,0
23,"white",0,0
24,"white",0,0
25,"white",1,0
26,"white",1,0
27,"black",1,0
28,"black",0,0
29,"white",1,0
30,"black",0,0
31,"white",1,0
32,"black",1,0
33,"white",0,0
34,"black",1,0
35,"black",0,0
36,"white",1,0
37,"white",0,0
38,"white",1,0
39,"white",1,0
40,"black",0,0
41,"white",1,0
42,"black",0,0
43,"black",1,0
44,"white",0,0
45,"white",1,0
46,"white",1,0
47,"white",0,0
48,"black",1,0
49,"white",1,1
50,"white",0,1
51,"black",0,0
52,"white",0,1
53,"white",1,1
54,"white",1,0
55,"white",1,0
56,"black",1,0
57,"black",1,0
58,"white",1,0
59,"black",1,0
60,"white",0,0
61,"white",0,0
62,"black",1,0
63,"black",1,0
64,"white",0,0
65,"white",1,0
66,"black",1,0
67,"white",0,0
68,"white",1,0
69,"white",1,1
70,"white",1,0
71,"black",1,0
72,"white",1,0
73,"white",1,1
74,"white",0,1
75,"white",1,0
76,"black",1,0
77,"black",0,0
78,"white",0,0
79,"black",1,0
80,"black",0,0
81,"black",1,0
82,"black",1,0
83,"white",1,0
84,"black",0,0
85,"black",1,0
86,"black",0,0
87,"white",0,0
88,"white",1,0
89,"black",1,0
90,"white",1,0
91,"black",1,0
92,"black",0,0
93,"white",1,0
94,"black",0,0
95,"black",0,0
96,"white",1,0
97,"white",1,1
98,"black",0,0
99,"white",1,0
100,"white",0,0
101,"white",0,1
102,"black",1,0
103,"black",0,0
104,"white",0,0
105,"black",0,1
106,"black",1,0
107,"white",0,0
108,"white",1,1
109,"white",0,1
110,"black",0,0
111,"black",1,0
112,"black",0,0
113,"black",0,0
114,"white",1,0
115,"white",1,0
116,"black",1,0
117,"black",1,0
118,"black",1,0
119,"white",1,0
120,"black",0,0
121,"white",1,0
122,"black",1,0
123,"white",1,0
124,"white",0,0
125,"white",0,0
126,"black",0,0
127,"black",0,1
128,"white",1,0
129,"white",0,0
130,"white",0,0
131,"black",1,0
132,"white",1,0
133,"black",0,0
134,"black",1,0
135,"black",0,0
136,"black",0,0
137,"black",1,0
138,"black",1,0
139,"black",1,0
140,"white",0,0
141,"black",1,0
142,"black",1,0
143,"black",1,0
144,"white",0,1
145,"black",0,0
146,"black",1,0
147,"black",1,0
148,"white",0,0
149,"black",0,0
150,"black",1,0
151,"white",1,1
152,"black",1,0
153,"white",0,0
154,"black",1,0
155,"white",1,0
156,"white",1,0
157,"white",1,0
158,"white",0,1
159,"white",1,0
160,"white",0,0
161,"white",1,0
162,"black",1,0
163,"black",0,0
164,"black",1,0
165,"white",0,0
166,"black",0,0
167,"white",1,0
168,"white",0,0
169,"black",1,0
170,"white",0,1
171,"black",0,0
172,"black",1,0
173,"black",0,0
174,"black",0,1
175,"white",0,0
176,"white",1,0
177,"white",1,0
178,"black",0,0
179,"black",0,0
180,"black",0,0
181,"black",1,0
182,"white",1,0
183,"white",1,0
184,"white",1,1
185,"white",1,0
186,"black",1,0
187,"black",1,0
188,"white",0,1
189,"white",0,0
190,"black",0,0
191,"black",0,0
192,"white",1,0
193,"white",1,0
194,"black",0,0
195,"black",0,0
196,"white",1,0
197,"white",0,1
198,"black",0,0
199,"white",0,1
200,"black",0,0
201,"black",1,0
202,"black",0,1
203,"black",0,0
204,"white",1,0
205,"black",0,0
206,"black",1,1
207,"black",1,0
208,"white",0,0
209,"black",0,0
210,"black",0,0
211,"black",1,0
212,"white",1,1
213,"white",1,0
214,"black",1,0
215,"black",0,0
216,"black",0,0
217,"black",0,0
218,"white",0,1
219,"black",1,0
220,"white",0,1
221,"black",0,0
222,"white",1,0
223,"white",1,0
224,"white",1,1
225,"black",1,1
226,"black",1,0
227,"white",1,0
228,"white",1,0
229,"black",1,0
230,"white",0,0
231,"white",0,0
232,"black",1,0
233,"black",1,0
234,"white",1,0
235,"black",0,0
236,"black",0,0
237,"black",1,0
238,"black",1,0
239,"black",0,1
240,"white",0,0
241,"white",1,0
242,"black",0,0
243,"white",0,0
244,"black",1,0
245,"white",0,1
246,"white",1,0
247,"white",1,0
248,"black",0,0
249,"black",1,0
250,"black",1,0
251,"white",0,1
252,"black",0,0
253,"black",0,0
254,"white",0,0
255,"white",1,0
256,"white",0,1
257,"white",0,0
258,"white",1,0
259,"black",0,1
260,"white",0,0
261,"black",1,0
262,"black",0,0
263,"black",1,0
264,"white",0,0
265,"black",1,0
266,"white",0,0
267,"black",0,0
268,"white",0,1
269,"white",1,0
270,"white",1,1
271,"white",1,0
272,"white",1,0
273,"white",1,0
274,"black",1,0
275,"white",0,1
276,"black",0,0
277,"white",0,0
278,"white",0,0
279,"white",1,0
280,"white",1,0
281,"black",0,0
282,"black",1,0
283,"white",0,0
284,"white",1,0
285,"white",1,0
286,"black",0,0
287,"black",0,0
288,"black",0,0
289,"white",0,0
290,"black",1,0
291,"white",1,0
292,"white",1,0
293,"white",0,0
294,"white",0,1
295,"white",1,0
296,"black",0,0
297,"black",0,0
298,"black",0,0
299,"white",0,1
300,"white",0,0
301,"black",0,0
302,"black",0,0
303,"white",0,0
304,"black",0,0
305,"white",0,0
306,"white",1,0
307,"black",0,0
308,"white",0,0
309,"white",1,0
310,"white",1,0
311,"black",0,0
312,"white",1,0
313,"black",0,0
314,"white",1,0
315,"black",1,0
316,"black",0,0
317,"black",0,0
318,"black",0,0
319,"white",1,0
320,"white",1,0
321,"white",1,0
322,"black",0,0
323,"white",1,1
324,"white",1,0
325,"black",1,1
326,"white",0,0
327,"white",0,0
328,"black",0,0
329,"white",0,0
330,"black",1,0
331,"black",0,0
332,"black",1,0
333,"white",0,0
334,"white",1,0
335,"white",1,0
336,"white",1,0
337,"black",1,0
338,"white",1,0
339,"white",0,1
340,"white",0,0
341,"white",1,0
342,"black",1,0
343,"black",1,0
344,"white",0,0
345,"black",1,0
346,"white",0,1
347,"white",1,0
348,"white",0,0
349,"black",0,0
350,"white",0,0
351,"white",0,0
352,"white",1,0
353,"black",1,0
354,"white",1,0
355,"white",1,0
356,"black",0,0
357,"white",1,0
358,"white",0,1
359,"white",0,0
360,"black",1,0
361,"black",0,0
362,"white",0,0
363,"white",1,0
364,"white",0,0
365,"black",1,0
366,"white",0,0
367,"black",0,0
368,"white",0,0
369,"black",1,0
370,"white",1,0
371,"white",0,0
372,"white",0,0
373,"black",1,0
374,"black",1,0
375,"white",1,0
376,"white",1,0
377,"black",0,0
378,"white",1,1
379,"white",1,0
380,"black",1,0
381,"white",0,0
382,"black",1,0
383,"black",1,0
384,"black",0,0
385,"black",1,0
386,"black",1,0
387,"black",0,0
388,"black",0,1
389,"black",0,0
390,"white",0,0
391,"black",1,1
392,"white",1,0
393,"white",1,0
394,"white",1,0
395,"white",1,0
396,"white",1,0
397,"white",0,0
398,"white",0,0
399,"black",0,0
400,"black",1,0
401,"white",1,0
402,"white",1,0
403,"white",1,0
404,"white",1,0
405,"white",1,0
406,"white",1,0
407,"black",1,0
408,"white",1,1
409,"black",1,0
410,"white",0,1
411,"black",0,0
412,"black",0,1
413,"black",1,0
414,"black",1,0
415,"black",0,0
416,"white",1,0
417,"black",1,0
418,"white",1,0
419,"white",0,1
420,"white",0,0
421,"white",1,1
422,"white",0,0
423,"white",0,0
424,"white",1,1
425,"white",1,0
426,"white",1,0
427,"black",0,0
428,"black",1,1
429,"white",0,1
430,"white",1,0
431,"white",1,1
432,"black",0,0
433,"black",1,0
434,"white",1,0
435,"black",1,0
436,"white",0,0
437,"black",1,0
438,"white",1,1
439,"black",1,0
440,"white",0,0
441,"white",1,0
442,"white",0,0
443,"black",0,0
444,"black",0,0
445,"white",0,0
446,"black",0,0
447,"black",0,0
448,"black",0,0
449,"black",0,0
450,"black",0,0
451,"black",1,0
452,"white",0,0
453,"black",1,0
454,"black",0,0
455,"black",0,0
456,"white",1,0
457,"black",1,0
458,"black",0,0
459,"white",0,1
460,"black",0,0
461,"black",1,1
462,"white",0,0
463,"black",1,0
464,"white",0,0
465,"white",1,0
466,"black",1,0
467,"black",1,0
468,"white",0,0
469,"black",1,0
470,"white",0,0
471,"white",1,0
472,"white",0,0
473,"black",1,0
474,"black",0,0
475,"white",0,0
476,"white",1,0
477,"white",1,0
478,"white",0,1
479,"black",0,0
480,"white",0,1
481,"black",0,0
482,"black",1,0
483,"black",1,0
484,"black",1,0
485,"white",1,1
486,"black",1,0
487,"black",0,0
488,"white",0,0
489,"black",0,0
490,"black",0,0
491,"white",0,0
492,"black",0,0
493,"white",1,1
494,"black",0,0
495,"black",1,0
496,"black",1,0
497,"black",1,1
498,"white",0,0
499,"white",1,0
500,"white",0,0
